year, gini , top5 ,,,,,,,,,,,,,,,
" 1,959.00 ", 44.41 , 23.09 ,,,,,,,,,,,,,,,
" 1,960.00 ", 43.79 , 22.89 ,,,,,,,,,,,,,,,
" 1,961.00 ", 43.59 , 22.95 ,,,,,,,,,,,,,,,
" 1,962.00 ", 43.09 , 22.17 ,,,,,,,,,,,,,,,
" 1,963.00 ", 42.33 , 21.94 ,,,,,,,,,,,,,,,
" 1,964.00 ", 42.08 , 21.62 ,,,,,,,,,,,,,,,
" 1,965.00 ", 42.04 , 21.51 ,,,,,,,,,,,,,,,
" 1,966.00 ", 42.03 , 21.49 ,,,,,,,,,,,,,,,
" 1,967.00 ", 42.02 , 21.51 ,,,,,,,,,,,,,,,
" 1,968.00 ", 42.12 , 21.21 ,,,,,,,,,,,,,,,
" 1,969.00 ", 41.88 , 21.21 ,,,,,,,,,,,,,,,
" 1,970.00 ", 41.50 , 21.17 ,,,,,,,,,,,,,,,
" 1,971.00 ", 41.61 , 21.26 ,,,,,,,,,,,,,,,
" 1,972.00 ", 41.60 , 21.12 ,,,,,,,,,,,,,,,
" 1,973.00 ", 41.66 , 21.25 ,,,,,,,,,,,,,,,
" 1,974.00 ", 41.24 , 20.83 ,,,,,,,,,,,,,,,
" 1,975.00 ", 41.43 , 21.13 ,,,,,,,,,,,,,,,
" 1,976.00 ", 41.22 , 21.31 ,,,,,,,,,,,,,,,
" 1,977.00 ", 41.08 , 20.75 ,,,,,,,,,,,,,,,
" 1,978.00 ", 40.73 , 20.51 ,,,,,,,,,,,,,,,
" 1,979.00 ", 40.56 , 20.72 ,,,,,,,,,,,,,,,
" 1,980.00 ", 40.28 , 20.42 ,,,,,,,,,,,,,,,
" 1,981.00 ", 40.04 , 20.16 ,,,,,,,,,,,,,,,
" 1,982.00 ", 40.06 , 20.26 ,,,,,,,,,,,,,,,
" 1,983.00 ", 40.05 , 20.31 ,,,,,,,,,,,,,,,
" 1,984.00 ", 40.07 , 20.34 ,,,,,,,,,,,,,,,
" 1,985.00 ", 40.19 , 20.25 ,,,,,,,,,,,,,,,
" 1,986.00 ", 40.50 , 20.38 ,,,,,,,,,,,,,,,
" 1,987.00 ", 40.73 , 20.54 ,,,,,,,,,,,,,,,
" 1,988.00 ", 41.47 , 21.11 ,,,,,,,,,,,,,,,
" 1,989.00 ", 41.84 , 21.02 ,,,,,,,,,,,,,,,
" 1,990.00 ", 42.34 , 21.23 ,,,,,,,,,,,,,,,
" 1,991.00 ", 43.25 , 21.80 ,,,,,,,,,,,,,,,
" 1,992.00 ", 43.62 , 22.00 ,,,,,,,,,,,,,,,
" 1,993.00 ", 43.91 , 22.33 ,,,,,,,,,,,,,,,
" 1,994.00 ", 44.18 , 22.63 ,,,,,,,,,,,,,,,
" 1,995.00 ", 44.44 , 22.80 ,,,,,,,,,,,,,,,
" 1,996.00 ", 44.56 , 22.88 ,,,,,,,,,,,,,,,
" 1,997.00 ", 44.44 , 23.21 ,,,,,,,,,,,,,,,
" 1,998.00 ", 44.62 , 23.15 ,,,,,,,,,,,,,,,
" 1,999.00 ", 44.78 , 23.08 ,,,,,,,,,,,,,,,
" 2,000.00 ", 44.89 , 23.01 ,,,,,,,,,,,,,,,
" 2,001.00 ", 45.10 , 23.12 ,,,,,,,,,,,,,,,
" 2,002.00 ", 45.37 , 23.23 ,,,,,,,,,,,,,,,
" 2,003.00 ", 45.51 , 23.18 ,,,,,,,,,,,,,,,
" 2,004.00 ", 45.52 , 23.14 ,,,,,,,,,,,,,,,
" 2,005.00 ", 45.61 , 23.23 ,,,,,,,,,,,,,,,
" 2,006.00 ", 45.56 , 23.22 ,,,,,,,,,,,,,,,
" 2,007.00 ", 45.54 , 23.20 ,,,,,,,,,,,,,,,
" 2,008.00 ", 45.37 , 23.07 ,,,,,,,,,,,,,,,
" 2,009.00 ", 45.31 , 23.08 ,,,,,,,,,,,,,,,
" 2,010.00 ", 45.25 , 23.04 ,,,,,,,,,,,,,,,
" 2,011.00 ", 45.20 , 22.98 ,,,,,,,,,,,,,,,
" 2,012.00 ", 45.23 , 22.96 ,,,,,,,,,,,,,,,
" 2,013.00 ", 45.18 , 22.95 ,,,,,,,,,,,,,,,
" 2,014.00 ", 45.02 , 22.86 ,,,,,,,,,,,,,,,
" 2,015.00 ", 45.04 , 23.02 ,,,,,,,,,,,,,,,
" 2,016.00 ", 45.05 , 22.90 ,,,,,,,,,,,,,,,
" 2,017.00 ", 45.08 , 22.89 ,,,,,,,,,,,,,,,
" 2,018.00 ", 45.20 , 23.03 ,,,,,,,,,,,,,,,
" 2,019.00 ", 45.10 , 23.03 ,,,,,,,,,,,,,,,
" 2,020.00 ", 45.13 , 23.02 ,,,,,,,,,,,,,,,
" 1,950.00 ", 44.95 , 24.17 ,,,,,,,,,,,,,,,
" 1,951.00 ", 44.92 , 24.17 ,,,,,,,,,,,,,,,
" 1,952.00 ", 44.96 , 24.21 ,,,,,,,,,,,,,,,
" 1,953.00 ", 44.90 , 24.11 ,,,,,,,,,,,,,,,
" 1,954.00 ", 44.97 , 24.07 ,,,,,,,,,,,,,,,
" 1,955.00 ", 44.37 , 23.74 ,,,,,,,,,,,,,,,
" 1,956.00 ", 43.78 , 23.39 ,,,,,,,,,,,,,,,
" 1,957.00 ", 43.62 , 23.21 ,,,,,,,,,,,,,,,
" 1,958.00 ", 43.27 , 22.88 ,,,,,,,,,,,,,,,
" 1,959.00 ", 43.03 , 22.71 ,,,,,,,,,,,,,,,
" 1,960.00 ", 42.46 , 22.34 ,,,,,,,,,,,,,,,
" 1,961.00 ", 42.29 , 22.14 ,,,,,,,,,,,,,,,
" 1,962.00 ", 41.81 , 21.78 ,,,,,,,,,,,,,,,
" 1,963.00 ", 41.09 , 21.30 ,,,,,,,,,,,,,,,
" 1,964.00 ", 40.82 , 21.08 ,,,,,,,,,,,,,,,
" 1,965.00 ", 40.78 , 20.97 ,,,,,,,,,,,,,,,
" 1,966.00 ", 40.78 , 20.92 ,,,,,,,,,,,,,,,
" 1,967.00 ", 40.79 , 20.89 ,,,,,,,,,,,,,,,
" 1,968.00 ", 40.87 , 20.86 ,,,,,,,,,,,,,,,
" 1,969.00 ", 40.64 , 20.69 ,,,,,,,,,,,,,,,
" 1,970.00 ", 40.28 , 20.38 ,,,,,,,,,,,,,,,
" 1,971.00 ", 40.37 , 20.44 ,,,,,,,,,,,,,,,
" 1,972.00 ", 40.34 , 20.40 ,,,,,,,,,,,,,,,
" 1,973.00 ", 40.39 , 20.56 ,,,,,,,,,,,,,,,
" 1,974.00 ", 40.00 , 20.48 ,,,,,,,,,,,,,,,
" 1,975.00 ", 40.18 , 20.72 ,,,,,,,,,,,,,,,
" 1,976.00 ", 39.93 , 20.54 ,,,,,,,,,,,,,,,
" 1,977.00 ", 39.79 , 20.38 ,,,,,,,,,,,,,,,
" 1,978.00 ", 39.42 , 20.11 ,,,,,,,,,,,,,,,
" 1,979.00 ", 39.23 , 19.98 ,,,,,,,,,,,,,,,
" 1,980.00 ", 38.90 , 19.77 ,,,,,,,,,,,,,,,
" 1,981.00 ", 38.62 , 19.61 ,,,,,,,,,,,,,,,
" 1,982.00 ", 38.64 , 19.69 ,,,,,,,,,,,,,,,
" 1,983.00 ", 38.61 , 19.74 ,,,,,,,,,,,,,,,
" 1,984.00 ", 38.62 , 19.75 ,,,,,,,,,,,,,,,
" 1,985.00 ", 38.79 , 19.72 ,,,,,,,,,,,,,,,
" 1,986.00 ", 39.10 , 19.88 ,,,,,,,,,,,,,,,
" 1,987.00 ", 39.35 , 20.02 ,,,,,,,,,,,,,,,
" 1,988.00 ", 40.14 , 20.64 ,,,,,,,,,,,,,,,
" 1,989.00 ", 40.61 , 20.65 ,,,,,,,,,,,,,,,
" 1,990.00 ", 41.20 , 20.87 ,,,,,,,,,,,,,,,
" 1,991.00 ", 42.08 , 21.47 ,,,,,,,,,,,,,,,
" 1,992.00 ", 42.48 , 21.69 ,,,,,,,,,,,,,,,
" 1,993.00 ", 42.80 , 22.02 ,,,,,,,,,,,,,,,
" 1,994.00 ", 43.13 , 22.36 ,,,,,,,,,,,,,,,
" 1,995.00 ", 43.42 , 22.55 ,,,,,,,,,,,,,,,
" 1,996.00 ", 43.55 , 22.64 ,,,,,,,,,,,,,,,
" 1,997.00 ", 43.46 , 22.60 ,,,,,,,,,,,,,,,
" 1,998.00 ", 43.65 , 22.74 ,,,,,,,,,,,,,,,
" 1,999.00 ", 43.83 , 22.79 ,,,,,,,,,,,,,,,
" 2,000.00 ", 43.95 , 22.80 ,,,,,,,,,,,,,,,
" 2,001.00 ", 44.17 , 22.91 ,,,,,,,,,,,,,,,
" 2,002.00 ", 44.46 , 23.01 ,,,,,,,,,,,,,,,
" 2,003.00 ", 44.59 , 22.97 ,,,,,,,,,,,,,,,
" 2,004.00 ", 44.60 , 22.93 ,,,,,,,,,,,,,,,
" 2,005.00 ", 44.67 , 23.01 ,,,,,,,,,,,,,,,
" 2,006.00 ", 44.64 , 22.98 ,,,,,,,,,,,,,,,
" 2,007.00 ", 44.62 , 22.98 ,,,,,,,,,,,,,,,
" 2,008.00 ", 44.46 , 22.83 ,,,,,,,,,,,,,,,
" 2,009.00 ", 44.40 , 22.85 ,,,,,,,,,,,,,,,
" 2,010.00 ", 44.33 , 22.82 ,,,,,,,,,,,,,,,
" 2,011.00 ", 44.29 , 22.73 ,,,,,,,,,,,,,,,
" 2,012.00 ", 44.34 , 22.73 ,,,,,,,,,,,,,,,
" 2,013.00 ", 44.29 , 22.71 ,,,,,,,,,,,,,,,
" 2,014.00 ", 44.12 , 22.63 ,,,,,,,,,,,,,,,
" 2,015.00 ", 44.13 , 22.65 ,,,,,,,,,,,,,,,
" 2,016.00 ", 44.13 , 22.63 ,,,,,,,,,,,,,,,
" 2,017.00 ", 44.16 , 22.65 ,,,,,,,,,,,,,,,
" 2,018.00 ", 44.28 , 22.74 ,,,,,,,,,,,,,,,
" 2,019.00 ", 44.19 , 22.76 ,,,,,,,,,,,,,,,
" 2,020.00 ", 44.21 , 22.78 ,,,,,,,,,,,,,,,
" 1,950.00 ", 58.86 , 43.81 ,,,,,,,,,,,,,,,
" 1,951.00 ", 58.85 , 44.00 ,,,,,,,,,,,,,,,
" 1,952.00 ", 58.63 , 43.81 ,,,,,,,,,,,,,,,
" 1,953.00 ", 58.53 , 43.74 ,,,,,,,,,,,,,,,
" 1,954.00 ", 58.59 , 43.12 ,,,,,,,,,,,,,,,
" 1,955.00 ", 59.28 , 43.70 ,,,,,,,,,,,,,,,
" 1,956.00 ", 59.62 , 43.61 ,,,,,,,,,,,,,,,
" 1,957.00 ", 59.76 , 43.14 ,,,,,,,,,,,,,,,
" 1,958.00 ", 59.87 , 42.57 ,,,,,,,,,,,,,,,
" 1,959.00 ", 60.46 , 43.99 ,,,,,,,,,,,,,,,
" 1,960.00 ", 60.99 , 43.26 ,,,,,,,,,,,,,,,
" 1,961.00 ", 61.42 , 42.68 ,,,,,,,,,,,,,,,
" 1,962.00 ", 61.94 , 44.54 ,,,,,,,,,,,,,,,
" 1,963.00 ", 62.44 , 44.91 ,,,,,,,,,,,,,,,
" 1,964.00 ", 62.59 , 45.43 ,,,,,,,,,,,,,,,
" 1,965.00 ", 62.87 , 46.26 ,,,,,,,,,,,,,,,
" 1,966.00 ", 63.16 , 47.15 ,,,,,,,,,,,,,,,
" 1,967.00 ", 63.28 , 47.09 ,,,,,,,,,,,,,,,
" 1,968.00 ", 63.47 , 47.62 ,,,,,,,,,,,,,,,
" 1,969.00 ", 63.59 , 47.14 ,,,,,,,,,,,,,,,
" 1,970.00 ", 63.61 , 46.31 ,,,,,,,,,,,,,,,
" 1,971.00 ", 63.60 , 46.35 ,,,,,,,,,,,,,,,
" 1,972.00 ", 63.89 , 46.84 ,,,,,,,,,,,,,,,
" 1,973.00 ", 63.90 , 47.08 ,,,,,,,,,,,,,,,
" 1,974.00 ", 64.17 , 47.31 ,,,,,,,,,,,,,,,
" 1,975.00 ", 63.82 , 46.35 ,,,,,,,,,,,,,,,
" 1,976.00 ", 64.23 , 46.30 ,,,,,,,,,,,,,,,
" 1,977.00 ", 64.39 , 47.78 ,,,,,,,,,,,,,,,
" 1,978.00 ", 64.67 , 48.80 ,,,,,,,,,,,,,,,
" 1,979.00 ", 64.98 , 48.87 ,,,,,,,,,,,,,,,
